Designator,Footprint,Quantity,Value,LCSC Part #
"C3, C6",0805,2,1u,
J2,6509475,1,~,
J3,SolderWire-1.5sqmm_1x03_P7.8mm_D1.7mm_OD3.9mm,1,Conn_01x03_Pin,
J4,1.25__FUSECLIPS,1,Conn_01x04_Pin,
Q1,TO-220-3_Vertical,1,FQPF27P06,
"R1, R2",0805,2,10kO,
U1,240W_CONV,1,~,
U2,CONV_UWE-24_3-Q12P-C,1,~,
U3,TSR2,1,TSR2-2450,
U4,TSR2,1,TSR2-2433,
