Designator,Mid X,Mid Y,Rotation,Layer
C3,232.75,-79.75,90.0,top
C6,221.75,-79.5,90.0,top
J2,200.092617,-105.174942,0.0,top
J4,239.85,-70.82,90.0,top
Q1,232.0,-91.54,270.0,top
R1,227.25,-92.98,90.0,top
R2,221.75,-73.75,270.0,top
U1,182.775,-85.4,90.0,bottom
U2,182.3925,-61.13,0.0,bottom
U3,227.25,-78.6,270.0,top
U4,216.5,-78.6,270.0,top
