12V_TP1:1
3.3V_TP_REG1:1
3.3V_TP_STM1:1
5V_TP1:1
BOOT_R1:1
BULK_1:1
BULK_22:1
BULK_4.7:1
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D2:1
D3:1
D4:1
F2:1
G***:2
GND_TP1:1
GND_TP2:1
H1:1
H2:1
H3:1
H4:1
J1:1
J10:1
J11:1
J12:1
J13:1
J2:1
J3:1
J4:1
J5:1
J6:1
J7:1
J8:1
J9:1
Q1:1
Q3:1
Q4:1
Q5:1
Q6:1
R1:1
R10:1
R11:1
R12:1
R14:1
R15:1
R16:1
R17:1
R18:1
R2:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
S1_OUT1:1
S1_TP1:1
S2_OUT1:1
S2_TP1:1
S3_OUT1:1
S3_TP1:1
S4_OUT1:1
S4_TP1:1
SCL:1
SDA:1
T_CD1:1
T_CD2:1
U1:1
U2:1
U3:1
U4:1
U5:1
U6:1
U7:1
U8:1
U9:1
Y1:1
