Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",133.000000,-31.550000,90.000000,bottom
"C2","22uF","C_0805_2012Metric",135.800000,-33.600000,0.000000,bottom
"C3","100nF","C_0805_2012Metric",121.000000,-29.800000,0.000000,bottom
